"","cits","conds","X1","X2","X3","X4","X5","X6"
"68","Reading","str",0.321328741773379,0.0207540643375994,0.0120197044334975,0.00960711213077144,0.00685292567211386,0.00420811017597552
"69","Sheffield","ang",0.257677903530534,0.0671052631578947,0.0349527665317139,0.0196785338741175,0.0132673712615246,0.0103092783505155
"70","Sheffield","hat",0.228714257067904,0.047953216374269,0.0284750337381916,0.0159230884782935,0.0110186642680459,0.0103092783505155
"71","Sheffield","hyp",0.0966962839035215,0.346929824561404,0.286099865047233,0.227579990986931,0.190690353046998,0.148911798396334
"72","Sheffield","str",0.262913373157263,0.0333333333333333,0.0156545209176788,0.0096139402133093,0.00764560377782775,0.00229095074455899
"73","Stoke","ang",0.251835825751667,0.0754847645429363,0.036118363794604,0.0232613339662948,0.0133982947624848,0.0106609808102345
"74","Stoke","hat",0.237589152508434,0.0526315789473684,0.0250217580504787,0.0173273201993829,0.0117742590336987,0.00639658848614072
"75","Stoke","hyp",0.0928246079471621,0.376038781163435,0.296997389033943,0.234749584619036,0.21274868047097,0.191897654584222
"76","Stoke","str",0.329037203884613,0.038781163434903,0.0156657963446475,0.00783289817232376,0.00324807145757207,0
"77","Swansea","ang",0.187661972429293,0.0528109028960818,0.0319548872180451,0.020746887966805,0.0104529616724739,0.0212765957446809
"78","Swansea","hat",0.242249343412135,0.0545144804088586,0.0281954887218045,0.0228215767634855,0,0
"79","Swansea","hyp",0.0612575904378292,0.330494037478705,0.298872180451128,0.253112033195021,0.191637630662021,0.25531914893617
"80","Swansea","str",0.199151775847637,0.0272572402044293,0.0169172932330827,0.012448132780083,0.00348432055749129,0
"81","Wrexham","ang",0.161730120817582,0.0506329113924051,0.0292397660818713,0.034965034965035,0,0
"82","Wrexham","hat",0.0932196637838648,0.0253164556962025,0.00584795321637427,0.020979020979021,0.0142857142857143,0
"83","Wrexham","hyp",0.0873337967996362,0.392405063291139,0.292397660818713,0.258741258741259,0.185714285714286,0.25
"84","Wrexham","str",0.081206520767992,0.0126582278481013,0.0116959064327485,0.013986013986014,0,0
