State,Income,High Blood Pressure,High Cholesterol,Heart Attack,Coronary Heart Disease,Stroke,Diabetes,Arthritis,COPD,Asthma
Utah,<18000,34.83,64.31,7.24,6.38,6.21,14.66,34.66,9.48,17.59
Utah,>100000,24.97,86.87,2.43,2.4,1.6,5.1,19.9,2.1,11.95
Utah,Unknown,32.57,69.16,4.35,3.57,3.63,10.76,27.11,4.02,13.78
Vermont,18-31000,39.41,86.74,6.96,6.37,4.59,14.22,37.85,10.22,17.19
Vermont,31-52000,34.71,88.78,4.13,3.31,2.83,11.22,33.06,6.26,13.22
Vermont,52-100000,32.71,88.41,4.32,4.32,1.57,6.97,25.15,3.83,12.77
Vermont,<18000,45.96,84.3,10.85,10.39,10.39,15.47,51.96,19.17,24.02
Vermont,>100000,28.34,92.83,1.88,3.12,1.23,5.29,24.69,2.23,13.58
Vermont,Unknown,35.24,85.01,6.69,5.53,2.85,10.17,35.06,7.76,14.45
Virginia,18-31000,48.42,84.65,7.76,7.2,6.43,18.95,39.56,12.74,14.63
Virginia,31-52000,43.05,89.34,5.64,4.39,3.55,15.67,33.23,7.52,10.45
Virginia,52-100000,39.55,89.77,3.87,4.04,2.41,12.04,29.92,5.16,10.83
Virginia,<18000,54.78,79.78,9.19,8.64,11.58,22.06,47.43,19.3,22.06
Virginia,>100000,30.92,92.94,2.16,2.84,1.84,7.13,20.95,3.13,9.58
Virginia,Unknown,41.56,86.2,4.7,4.48,5.14,13.29,33.33,7.78,11.09
Washington,18-31000,43.86,81.58,8.38,7.74,6.14,14.82,39.32,11.58,16.29
Washington,31-52000,43.93,86.96,6.47,6.17,4.35,11.88,36.96,7.79,13.7
